code,name
T40601D,"Poisoning by unspecified narcotics, accidental (unintentional)"
T40601S,"Poisoning by unspecified narcotics, accidental (unintentional)"
T40602A,"Poisoning by unspecified narcotics, intentional self-harm"
T40602D,"Poisoning by unspecified narcotics, intentional self-harm"
T40602S,"Poisoning by unspecified narcotics, intentional self-harm"
T40603A,"Poisoning by unspecified narcotics, assault"
T40603D,"Poisoning by unspecified narcotics, assault"
T40603S,"Poisoning by unspecified narcotics, assault"
T40604A,"Poisoning by unspecified narcotics, undetermined"
T40604D,"Poisoning by unspecified narcotics, undetermined"
T40604S,"Poisoning by unspecified narcotics, undetermined"
T40691A,"Poisoning by other narcotics, accidental (unintentional)"
T40691D,"Poisoning by other narcotics, accidental (unintentional)"
T40691S,"Poisoning by other narcotics, accidental (unintentional)"
T40692A,"Poisoning by other narcotics, intentional self-harm"
T40692D,"Poisoning by other narcotics, intentional self-harm"
T40692S,"Poisoning by other narcotics, intentional self-harm"
T40693A,"Poisoning by other narcotics, assault"
T40693D,"Poisoning by other narcotics, assault"
T40693S,"Poisoning by other narcotics, assault"
T40694A,"Poisoning by other narcotics, undetermined"
T40694D,"Poisoning by other narcotics, undetermined"
T40694S,"Poisoning by other narcotics, undetermined"
